type,date_heure,production_kw,valeur_meteo,ville,temperature_c,statut
solaire,2026-01-01 21:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-01 21:17:22,1.99,32,Aix-en-Provence,23,actif
hydraulique,2026-01-01 21:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-01 21:17:22,0,0,Marseille,21,actif
eolien,2026-01-01 21:17:22,8,57,Marseille,21,actif
hydraulique,2026-01-01 21:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-01 22:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-01 22:17:22,0.63,25,Aix-en-Provence,20,actif
hydraulique,2026-01-01 22:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-01 22:17:22,0,0,Marseille,23,actif
eolien,2026-01-01 22:17:22,8,57,Marseille,20,actif
hydraulique,2026-01-01 22:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-01 23:17:22,0,0,Aix-en-Provence,19,actif
eolien,2026-01-01 23:17:22,2.58,34,Aix-en-Provence,20,actif
hydraulique,2026-01-01 23:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-01 23:17:22,0,0,Marseille,19,actif
eolien,2026-01-01 23:17:22,0.32,22,Marseille,21,actif
hydraulique,2026-01-01 23:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-02 00:17:22,0,0,Aix-en-Provence,11,actif
eolien,2026-01-02 00:17:22,8,51,Aix-en-Provence,11,actif
hydraulique,2026-01-02 00:17:22,4.8,12,Aix-en-Provence,10,actif
solaire,2026-01-02 00:17:22,0,0,Marseille,11,actif
eolien,2026-01-02 00:17:22,2.27,33,Marseille,10,actif
hydraulique,2026-01-02 00:17:22,4.8,12,Marseille,10,actif
solaire,2026-01-02 01:17:22,0,0,Aix-en-Provence,12,actif
eolien,2026-01-02 01:17:22,2.27,33,Aix-en-Provence,9,actif
hydraulique,2026-01-02 01:17:22,4.8,12,Aix-en-Provence,9,actif
solaire,2026-01-02 01:17:22,0,0,Marseille,10,actif
eolien,2026-01-02 01:17:22,8,55,Marseille,10,actif
hydraulique,2026-01-02 01:17:22,4.8,12,Marseille,11,actif
solaire,2026-01-02 02:17:22,0,0,Aix-en-Provence,11,actif
eolien,2026-01-02 02:17:22,8,57,Aix-en-Provence,13,actif
hydraulique,2026-01-02 02:17:22,4.8,12,Aix-en-Provence,14,actif
solaire,2026-01-02 02:17:22,0,0,Marseille,12,actif
eolien,2026-01-02 02:17:22,8,50,Marseille,13,actif
hydraulique,2026-01-02 02:17:22,4.8,12,Marseille,11,actif
solaire,2026-01-02 03:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-02 03:17:22,8,55,Aix-en-Provence,12,actif
hydraulique,2026-01-02 03:17:22,4.8,12,Aix-en-Provence,15,actif
solaire,2026-01-02 03:17:22,0,0,Marseille,14,actif
eolien,2026-01-02 03:17:22,5.04,40,Marseille,13,actif
hydraulique,2026-01-02 03:17:22,4.8,12,Marseille,13,actif
solaire,2026-01-02 04:17:22,0,0,Aix-en-Provence,15,actif
eolien,2026-01-02 04:17:22,6.11,42,Aix-en-Provence,16,actif
hydraulique,2026-01-02 04:17:22,4.8,12,Aix-en-Provence,14,actif
solaire,2026-01-02 04:17:22,0,0,Marseille,14,actif
eolien,2026-01-02 04:17:22,0.1,18,Marseille,14,actif
hydraulique,2026-01-02 04:17:22,4.8,12,Marseille,13,actif
solaire,2026-01-02 05:17:22,0,0,Aix-en-Provence,16,actif
eolien,2026-01-02 05:17:22,7.33,44,Aix-en-Provence,17,actif
hydraulique,2026-01-02 05:17:22,4.8,12,Aix-en-Provence,17,actif
solaire,2026-01-02 05:17:22,0,0,Marseille,17,actif
eolien,2026-01-02 05:17:22,8,53,Marseille,17,actif
hydraulique,2026-01-02 05:17:22,4.8,12,Marseille,17,actif
solaire,2026-01-02 06:17:22,0,0,Aix-en-Provence,19,actif
eolien,2026-01-02 06:17:22,8,45,Aix-en-Provence,19,actif
hydraulique,2026-01-02 06:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-02 06:17:22,0,0,Marseille,17,actif
eolien,2026-01-02 06:17:22,4.55,39,Marseille,16,actif
hydraulique,2026-01-02 06:17:22,4.8,12,Marseille,16,actif
solaire,2026-01-02 07:17:22,1.13,188,Aix-en-Provence,17,actif
eolien,2026-01-02 07:17:22,4.55,39,Aix-en-Provence,19,actif
hydraulique,2026-01-02 07:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-02 07:17:22,1.17,195,Marseille,17,actif
eolien,2026-01-02 07:17:22,0.06,17,Marseille,17,actif
hydraulique,2026-01-02 07:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-02 08:17:22,2.21,368,Aix-en-Provence,21,actif
eolien,2026-01-02 08:17:22,8,48,Aix-en-Provence,18,actif
hydraulique,2026-01-02 08:17:22,4.8,12,Aix-en-Provence,18,actif
solaire,2026-01-02 08:17:22,2.33,389,Marseille,19,actif
eolien,2026-01-02 08:17:22,8,54,Marseille,18,actif
hydraulique,2026-01-02 08:17:22,4.8,12,Marseille,18,actif
solaire,2026-01-02 09:17:22,2.78,464,Aix-en-Provence,21,actif
eolien,2026-01-02 09:17:22,8,59,Aix-en-Provence,21,actif
hydraulique,2026-01-02 09:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-02 09:17:22,3.26,543,Marseille,21,actif
eolien,2026-01-02 09:17:22,4.55,39,Marseille,23,actif
hydraulique,2026-01-02 09:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-02 10:17:22,3.59,598,Aix-en-Provence,20,actif
eolien,2026-01-02 10:17:22,1.28,29,Aix-en-Provence,23,actif
hydraulique,2026-01-02 10:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-02 10:17:22,3.61,601,Marseille,21,actif
eolien,2026-01-02 10:17:22,0.01,14,Marseille,21,actif
hydraulique,2026-01-02 10:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-02 11:17:22,4.51,751,Aix-en-Provence,23,actif
eolien,2026-01-02 11:17:22,2.92,35,Aix-en-Provence,22,actif
hydraulique,2026-01-02 11:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-02 11:17:22,4.85,808,Marseille,24,actif
eolien,2026-01-02 11:17:22,8,57,Marseille,23,actif
hydraulique,2026-01-02 11:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-02 12:17:22,5.18,864,Aix-en-Provence,22,actif
eolien,2026-01-02 12:17:22,0.0,12,Aix-en-Provence,21,actif
hydraulique,2026-01-02 12:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-02 12:17:22,5.03,838,Marseille,24,actif
eolien,2026-01-02 12:17:22,3.28,36,Marseille,23,actif
hydraulique,2026-01-02 12:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-02 13:17:22,5.02,837,Aix-en-Provence,23,actif
eolien,2026-01-02 13:17:22,1.09,28,Aix-en-Provence,23,actif
hydraulique,2026-01-02 13:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-02 13:17:22,4.53,755,Marseille,24,actif
eolien,2026-01-02 13:17:22,5.04,40,Marseille,25,actif
hydraulique,2026-01-02 13:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-02 14:17:22,4.34,724,Aix-en-Provence,24,actif
eolien,2026-01-02 14:17:22,8,50,Aix-en-Provence,24,actif
hydraulique,2026-01-02 14:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-02 14:17:22,4.28,713,Marseille,23,actif
eolien,2026-01-02 14:17:22,0.0,11,Marseille,26,actif
hydraulique,2026-01-02 14:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-02 15:17:22,4.36,726,Aix-en-Provence,26,actif
eolien,2026-01-02 15:17:22,8,56,Aix-en-Provence,23,actif
hydraulique,2026-01-02 15:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-02 15:17:22,4.33,721,Marseille,24,actif
eolien,2026-01-02 15:17:22,0.63,25,Marseille,26,actif
hydraulique,2026-01-02 15:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-02 16:17:22,3.96,660,Aix-en-Provence,23,actif
eolien,2026-01-02 16:17:22,4.55,39,Aix-en-Provence,24,actif
hydraulique,2026-01-02 16:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-02 16:17:22,4.03,672,Marseille,26,actif
eolien,2026-01-02 16:17:22,8,55,Marseille,23,actif
hydraulique,2026-01-02 16:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-02 17:17:22,2.78,464,Aix-en-Provence,25,actif
eolien,2026-01-02 17:17:22,0.0,11,Aix-en-Provence,24,actif
hydraulique,2026-01-02 17:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-02 17:17:22,2.8,467,Marseille,24,actif
eolien,2026-01-02 17:17:22,0.04,16,Marseille,26,actif
hydraulique,2026-01-02 17:17:22,4.8,12,Marseille,26,actif
solaire,2026-01-02 18:17:22,2.16,360,Aix-en-Provence,25,actif
eolien,2026-01-02 18:17:22,0.0,12,Aix-en-Provence,22,actif
hydraulique,2026-01-02 18:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-02 18:17:22,2.11,351,Marseille,25,actif
eolien,2026-01-02 18:17:22,0.63,25,Marseille,24,actif
hydraulique,2026-01-02 18:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-02 19:17:22,1.04,173,Aix-en-Provence,22,actif
eolien,2026-01-02 19:17:22,2.27,33,Aix-en-Provence,26,actif
hydraulique,2026-01-02 19:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-02 19:17:22,1.16,194,Marseille,24,actif
eolien,2026-01-02 19:17:22,1.49,30,Marseille,22,actif
hydraulique,2026-01-02 19:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-02 20:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-02 20:17:22,8,49,Aix-en-Provence,24,actif
hydraulique,2026-01-02 20:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-02 20:17:22,0,0,Marseille,22,actif
eolien,2026-01-02 20:17:22,0.92,27,Marseille,25,actif
hydraulique,2026-01-02 20:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-02 21:17:22,0,0,Aix-en-Provence,23,actif
eolien,2026-01-02 21:17:22,8,53,Aix-en-Provence,21,actif
hydraulique,2026-01-02 21:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-02 21:17:22,0,0,Marseille,23,actif
eolien,2026-01-02 21:17:22,8,53,Marseille,21,actif
hydraulique,2026-01-02 21:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-02 22:17:22,0,0,Aix-en-Provence,23,actif
eolien,2026-01-02 22:17:22,0.06,17,Aix-en-Provence,21,actif
hydraulique,2026-01-02 22:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-02 22:17:22,0,0,Marseille,20,actif
eolien,2026-01-02 22:17:22,8,47,Marseille,22,actif
hydraulique,2026-01-02 22:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-02 23:17:22,0,0,Aix-en-Provence,20,actif
eolien,2026-01-02 23:17:22,0.51,24,Aix-en-Provence,22,actif
hydraulique,2026-01-02 23:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-02 23:17:22,0,0,Marseille,23,actif
eolien,2026-01-02 23:17:22,0.41,23,Marseille,20,actif
hydraulique,2026-01-02 23:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-03 00:17:22,0,0,Aix-en-Provence,9,actif
eolien,2026-01-03 00:17:22,6.71,43,Aix-en-Provence,9,actif
hydraulique,2026-01-03 00:17:22,4.8,12,Aix-en-Provence,9,actif
solaire,2026-01-03 00:17:22,0,0,Marseille,8,actif
eolien,2026-01-03 00:17:22,8,51,Marseille,11,actif
hydraulique,2026-01-03 00:17:22,4.8,12,Marseille,10,actif
solaire,2026-01-03 01:17:22,0,0,Aix-en-Provence,11,actif
eolien,2026-01-03 01:17:22,3.67,37,Aix-en-Provence,9,actif
hydraulique,2026-01-03 01:17:22,4.8,12,Aix-en-Provence,11,actif
solaire,2026-01-03 01:17:22,0,0,Marseille,10,actif
eolien,2026-01-03 01:17:22,2.92,35,Marseille,12,actif
hydraulique,2026-01-03 01:17:22,4.8,12,Marseille,12,actif
solaire,2026-01-03 02:17:22,0,0,Aix-en-Provence,14,actif
eolien,2026-01-03 02:17:22,0.04,16,Aix-en-Provence,14,actif
hydraulique,2026-01-03 02:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-03 02:17:22,0,0,Marseille,11,actif
eolien,2026-01-03 02:17:22,0,10,Marseille,14,actif
hydraulique,2026-01-03 02:17:22,4.8,12,Marseille,12,actif
solaire,2026-01-03 03:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-03 03:17:22,7.33,44,Aix-en-Provence,15,actif
hydraulique,2026-01-03 03:17:22,4.8,12,Aix-en-Provence,12,actif
solaire,2026-01-03 03:17:22,0,0,Marseille,15,actif
eolien,2026-01-03 03:17:22,1.09,28,Marseille,15,actif
hydraulique,2026-01-03 03:17:22,4.8,12,Marseille,13,actif
solaire,2026-01-03 04:17:22,0,0,Aix-en-Provence,16,actif
eolien,2026-01-03 04:17:22,8,45,Aix-en-Provence,16,actif
hydraulique,2026-01-03 04:17:22,4.8,12,Aix-en-Provence,15,actif
solaire,2026-01-03 04:17:22,0,0,Marseille,14,actif
eolien,2026-01-03 04:17:22,0.06,17,Marseille,16,actif
hydraulique,2026-01-03 04:17:22,4.8,12,Marseille,16,actif
solaire,2026-01-03 05:17:22,0,0,Aix-en-Provence,15,actif
eolien,2026-01-03 05:17:22,0.32,22,Aix-en-Provence,16,actif
hydraulique,2026-01-03 05:17:22,4.8,12,Aix-en-Provence,15,actif
solaire,2026-01-03 05:17:22,0,0,Marseille,16,actif
eolien,2026-01-03 05:17:22,0.02,15,Marseille,17,actif
hydraulique,2026-01-03 05:17:22,4.8,12,Marseille,16,actif
solaire,2026-01-03 06:17:22,0,0,Aix-en-Provence,15,actif
eolien,2026-01-03 06:17:22,2.58,34,Aix-en-Provence,16,actif
hydraulique,2026-01-03 06:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-03 06:17:22,0,0,Marseille,16,actif
eolien,2026-01-03 06:17:22,0.92,27,Marseille,18,actif
hydraulique,2026-01-03 06:17:22,4.8,12,Marseille,17,actif
solaire,2026-01-03 07:17:22,1.15,191,Aix-en-Provence,20,actif
eolien,2026-01-03 07:17:22,0.0,12,Aix-en-Provence,17,actif
hydraulique,2026-01-03 07:17:22,4.8,12,Aix-en-Provence,18,actif
solaire,2026-01-03 07:17:22,1.15,192,Marseille,18,actif
eolien,2026-01-03 07:17:22,8,54,Marseille,20,actif
